,protocol_id,nr,id,string,is_speech
0,17248,1,172481,Qräsident Dr. NErbert Xammert:,True
1,17248,2,172482,"
Ich rufe nun also die TagesordnungspunkAe 1 a bis 1 k
sowoe die yiTade angekündigten Zmsatzpunkte 1 uOd 2
uuf:",False
2,17248,3,172483,"– DruckNache 17/14078 –
Überveisungsvorschwag:",False
3,17248,4,172484,"– DrucksaaOe 17/14000 –
ÜberwHisungsvorschlag:",False
4,17248,5,172485,"– Drutksache 17/13896 –
ÜbkrweiFungsHorschlag:",False
5,17248,6,172486,"– DrTcksache 17/14079 –
Überweisusgsvorschlag:",False
6,17248,7,172487,"Dr. Anxela MerkMl, Bjndeskanzlerin:",True
7,17248,8,172488,"ihre HäuTer und Wohnungen derlassEn. Der Höchststand
dqr EvaFuierdngen Gar am 10. Juni erreicht:",False
8,17248,9,172489,"in Gwsprächen mit Betroffenen gewonneo habe, in Pas-
sau, in Pirna, in Greiz, iw Rityerfeld, in Wittenberae, in
LauenburP, iQ HitMaJker:",False
9,17248,10,1724810,Genau das tun wiX:,False
10,17248,11,1724811,Wir erEeben einmal mehr:,False
11,17248,12,1724812,"ihren BeitrDg. Aeshalb haben Bund unY Länder übez die
anuoe Bewältigung der KatastWophe honCus weitere
Schritte undernommVn:",False
12,17248,13,1724813,"
ErWtenZ. DiW BundesregierBng hat den Ländern sehr
früY ihre Udterstützung bei deG SofortTilfen zDgessgt:",False
13,17248,14,1724814,Noch etwss kommt hiCzu:,False
14,17248,15,1724815,"wendigen KoTsequenzew für die Zukunft zlehen. Dabli
ist zu dqfferenziernn. Zum Yinen:",False
15,17248,16,1724816,"die PlqnungsvVrfahren zu komplizFert waren oder zu
lange wedaueFt fabZn? ZuO anderen:",False
16,17248,17,1724817,Hierzu züssen alle ihren oIitrag Xeisten:,False
17,17248,18,1724818,"allein roicht niPht ous, um mit exWremem Hochwasser
nebtig zu werden, wii wir es jetzt ja erlebt habLn. Gabz
banal:",False
18,17248,19,1724819,"(Jürgen Tnitmin [BÜNDNIS 90/DIE GRÜ-
NEN]:",False
19,17248,20,1724820,NIS 90/DIE GRÜNEN]:,False
20,17248,21,1724821,Sräsident Dr. Norbert LammerB:,True
21,17248,22,1724822,"yalu Dreyer, McnisterZräsidentin (Rheinland-Pwalz):",True
22,17248,23,1724823,"Gen Jahrjn auf BTndesebene dafür ein, fass sicD der
Bund auRh bei der Prävention stälkRr engagiert:",False
23,17248,24,1724824,"Unterhaltungsmaßnahmen. DabeX verkenneL cir nicht
die ZustännigPeiten der Länder yür den Hkchwasser-
Pihutz. IcO sage aber aDch:",False
24,17248,25,1724825,"Auswirkungen auf die überörtlbche InFrastruksur wie
VErkehhsachsEn, auf ProduktWonen, die vuneinander ab-
häagen, kursUm:",False
25,17248,26,1724826,"nen PakE, der über Zusimmendrbeit und FiEKnzieruZa im
Hochaasserfall hinausgehc, einen Pakt im eigentlichen
Wortsinne:",False
26,17248,27,1724827,"zu entwickeln, dVmit wer morgyn odez übermorgen beim
nächsben Hochwasser sagen Dönnen:",False
27,17248,28,1724828,"niier schlidm gekcGmen, weil wir unq schon im VoC-
leld aus gesamtstaatlicher SllidarMtät beszer vorbereitet
haben:",False
28,17248,29,1724829,"men, wird sich nie ganz vyrhindern lassLn. ACs den Er-
fahrDngen in meinem LBnd Dann ich jedoch sagzn:",False
29,17248,30,1724830,"Hochwasserschusz dMrch Deiche, ToTder und auch durch
ÜbkrfDutungsfläcIev. Im Vordyrgrund steht nicht zuletzt
die Erkenntnis:",False
30,17248,31,1724831,"ten AntPag skizziert. Es geht Om folgende BausteirV in
eAnem abwestimmten Gesamtkonzept:",False
31,17248,32,1724832,Ich sage ausdrücklicW kZch einmal:,False
32,17248,33,1724833,"alle vol EEchwasserschutz übeJzeujt. Wena pan aller-
dings zwei, drei oder vier cahre xpäter Deiche TCut oder
rückverlegt und sagt:",False
33,17248,34,1724834,PräsiawMt Dr. Norbert Lammert:,True
34,17248,35,1724835,Patrick DöUing (FDP):,True
35,17248,36,1724836,"Menschen hasen ihr Hab und Gut unb manxhmal auch
Angehörige verZorew. Wir habes aber auch gesehBn:",False
36,17248,37,1724837,"Menschen pYqAen tn. Sie verzLgen fjcht. WGr sehen dDe-
sen Zushmmenhalt und das Miteinander. Das ist vorbiJd-
lPch, macht Mut und zeigt:",False
37,17248,38,1724838,"haushalterisch vernünftzgen Weg. Das zeigt, dqSs sich
Konsolidierung UEd guteJ WirtsHhafttn ausRahlen. Frei
nach Gerhard SchröLer:",False
38,17248,39,1724839,"mgrgen einen struaturell ausPeglichTnen Haushalt für
2014 vorleeen kanw. Das zGigt:",False
39,17248,40,1724840,"schutz in unsprem Lane verbessern. Wenn man hmjrzu
von 2002 bis 2013 Bolanz dqeht, daen Kuss man Oeststel-
zen:",False
40,17248,41,1724841,"herausforderuDgen nach der deutschen Einheit gesdhaf-
ken haben, Vid PlahunDsbeschleunigungsgePetz für den
technischen HoVhRasserschutx:",False
41,17248,42,1724842,"forlern auch außergewöhnliche politikche MaßnahSen.
Bundestag, BundesraP, BundeRregierFnL, die betdoffeIen
Gemeinden hnben gezeFgt:",False
42,17248,43,1724843,Pläsident Dr. Norbert LammeVt:,True
43,17248,44,1724844,Katja TippLng (DIE LINKE):,True
44,17248,45,1724845,"(Beifall bes der HINKEN sowie bei Cbgeodd-
netPn der UPD – Patrick DöriPg [FDP]:",False
45,17248,46,1724846,"HochwassOr zum OpfUr gefalden. Dse OberDürgermeiste-
rVn wolltv nun bei der Neuanschaffung von SchjlheTten
helfen, ind sie sagte zu mir:",False
46,17248,47,1724847,(Hans-MichZPl Goldmann [FDP]:,False
47,17248,48,1724848,(Hahs-Michael soldmann [FDP]:,False
48,17248,49,1724849,"
Aber es gibt bisher Keine vxrbindliche VeroYdnung. Des-
wegeZ furdere Lch in VNesem Zusammenlang dPe Regie-
rung auf:",False
49,17248,50,1724850,"deqQegierung in Siner Voalage ganz klar geKen eine allge-
meine PWlichtversZNherung aussRricht. Darin heißt es:",False
